siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP283,297777,4101207.5,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP1695,299175.9,4100970.8,ARVI4,Arctostaphylos viscida,3.2
SOAP,Soaproot Saddle,SOAP1695,299183.2,4100972.5,ARVI4,Arctostaphylos viscida,4.8
SOAP,Soaproot Saddle,SOAP299,297507,4100687.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1515,297506.9,4101264.8,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP255,300149.5,4101369,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP555,297115.3,4100912.8,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP143,299846.6,4100418.8,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP1343,299589.6,4100963,ARVI4,Arctostaphylos viscida,2.8
SOAP,Soaproot Saddle,SOAP1515,297515.4,4101263.5,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP255,300135.6,4101376,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP1563,297694.2,4101221.5,ARVI4,Arctostaphylos viscida,1.2
SOAP,Soaproot Saddle,SOAP1343,299602.7,4100977.2,ARVI4,Arctostaphylos viscida,2.2
SOAP,Soaproot Saddle,SOAP299,297499.9,4100690,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP1611,297435.3,4100571.2,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1695,299188.6,4100961.8,ARVI4,Arctostaphylos viscida,3.3
SOAP,Soaproot Saddle,SOAP1695,299181.5,4100970.2,ARVI4,Arctostaphylos viscida,3.1
SOAP,Soaproot Saddle,SOAP63,299806.5,4101030.2,ARVI4,Arctostaphylos viscida,1.1
SOAP,Soaproot Saddle,SOAP255,300147.9,4101370.5,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP555,297127.1,4100912.5,ARVI4,Arctostaphylos viscida,1.4
