slug,tag_name,start_date,attendance,host_name,country
2015-02-16-resbaz-python,SWC,2015-02-16,47,University of Melbourne,AU
2015-02-16-resbaz-r,SWC,2015-02-16,43,University of Melbourne,AU
2015-02-21-Krakow,SWC,2015-02-21,36,Jagiellonian University,PL
2015-02-21-iplant,SWC,2015-02-21,55,iPlant,US
2015-02-21-uci,SWC,2015-02-21,50,University of California Irvine,US
2015-02-23-canterbury,SWC,2015-02-23,37,University of Canterbury,NZ
2015-02-25-seoul,SWC,2015-02-25,12,Korea Radio Promotion Association,KR
2015-02-25-ucl,SWC,2015-02-25,14,University College London,GB
2015-02-26-Oslo,SWC,2015-02-26,27,University of Oslo,NO
2015-02-26-auckland,SWC,2015-02-26,19,University of Auckland,NZ
2015-03-02-clemson,SWC,2015-03-02,20,Clemson University,US
2015-03-03-iupui,SWC,2015-03-03,10,Indiana University-Purdue University Indianapolis,US
2015-03-05-ubc,SWC,2015-03-05,40,University of British Columbia,CA
2015-03-06-nyas,SWC,2015-03-06,44,New York Academy of Sciences,US
2015-03-09-ISI-CODATA,DC,2015-03-10,44,Indian Statistical Institute,IN
2015-03-10-ttt-lbl,"TTT,online",2015-03-10,12,Software Carpentry,W3
2015-03-16-utahstate,SWC,2015-03-16,47,Utah State University,US
2015-03-18-csc-espoo,DC,2015-03-18,29,CSC - IT Center for Science,FI
2015-03-19-arkansas,SWC,2015-03-19,21,University of Arkansas,US
2015-03-20-unl,SWC,2015-03-20,42,University of Nebraska,US
2015-03-21-uwaterloo,SWC,2015-03-21,34,University of Waterloo,CA
2015-03-23-hsph,SWC,2015-03-23,20,Harvard University,US
2015-03-24-ou,SWC,2015-03-24,24,University of Oklahoma,US
2015-03-26-mahidol,SWC,2015-03-26,6,Mahidol University,TH
2015-03-30-AAAS,DC,2015-03-30,30,AAAS,US
2015-03-30-umiami,SWC,2015-03-30,38,University of Miami,US
2015-04-01-wcmc,SWC,2015-04-01,36,Weill Cornell Medical College,US
2015-04-02-umiami,SWC,2015-04-02,33,University of Miami,US
2015-04-08-SWC-UniMelb-Biosciences,SWC,2015-04-08,42,University of Melbourne,AU
2015-04-08-ttt-nih,"TTT,online",2015-04-08,17,Software Carpentry,W3
2015-04-09-UW,SWC,2015-04-09,47,University of Washington,US
2015-04-13-leiden,SWC,2015-04-13,38,Leiden,NL
2015-04-13-samsi,SWC,2015-04-13,29,Sandia National Laboratory,US
2015-04-15-ncar,SWC,2015-04-15,22,University Corporation for Atmospheric Research,US
2015-04-16-imperial,SWC,2015-04-16,18,Imperial College London,GB
2015-04-16-uvalib,SWC,2015-04-16,18,University of Virginia,US
2015-04-16-uvasom,SWC,2015-04-16,18,University of Virginia,US
2015-04-17-nw,SWC,2015-04-17,50,Northwestern University,US
2015-04-17-ucsb,SWC,2015-04-17,25,University of California Santa Barbara,US
2015-04-18-ASU,SWC,2015-04-18,38,Arizona State University,US
2015-04-18-UT-Arlington,SWC,2015-04-18,61,University of Texas Arlington,US
2015-04-22-UNO,SWC,2015-04-22,16,University of Nebraska - Omaha,US
2015-04-23-stanford,DC,2015-04-23,23,Stanford University,US
2015-04-27-wsu,SWC,2015-04-27,32,Washington State University,US
2015-04-29-pangyo,SWC,2015-04-29,3,Korea Radio Promotion Association,KR
2015-04-30-SFU,SWC,2015-04-30,57,Simon Fraser University,CA
2015-05-03-NDIC,DC,2015-05-03,40,NDIC,US
2015-05-04-lbl,SWC,2015-05-04,26,Lawrence Berkeley National Laboratory,US
2015-05-04-matlab,SWC,2015-05-04,17,University of Melbourne,AU
2015-05-04-swinpython,SWC,2015-05-04,28,Swinburne University of Technology,AU
2015-05-04-usfcms,SWC,2015-05-04,20,University of South Florida,US
2015-05-11-ttt-compute-canada,TTT,2015-05-11,22,Compute Canada,CA
2015-05-11-unm,SWC,2015-05-11,45,University of New Mexico,US
