date_awarded,first_wkshp,days
03/01/16,09/01/16,184
12/01/14,06/01/15,182
05/01/15,12/01/15,214
08/01/17,03/01/18,212
10/01/17,05/01/18,212
03/01/15,10/01/15,214
07/01/13,02/01/14,215
07/01/13,02/01/14,215
06/01/17,01/01/18,214
02/01/16,09/01/16,213
07/01/15,02/01/16,215
01/01/17,08/01/17,212
02/01/15,09/01/15,212
07/01/16,02/01/17,215
02/01/17,09/01/17,212
09/01/17,04/01/18,212
02/01/16,09/01/16,213
02/01/16,09/01/16,213
03/01/17,10/01/17,214
04/01/15,11/01/15,214
08/01/17,03/01/18,212
02/01/16,09/01/16,213
06/01/16,01/01/17,214
04/01/15,11/01/15,214
02/01/16,09/01/16,213
07/01/17,03/01/18,243
10/01/17,06/01/18,243
09/01/14,04/01/15,212
03/01/17,11/01/17,245
02/01/16,09/01/16,213
08/01/17,04/01/18,243
12/01/17,07/01/18,212
12/01/16,07/01/17,212
02/01/16,10/01/16,243
02/01/16,10/01/16,243
01/01/17,09/01/17,243
07/01/17,03/01/18,243
10/01/17,06/01/18,243
04/01/17,12/01/17,244
12/01/14,08/01/15,243
03/01/15,11/01/15,245
02/01/16,10/01/16,243
12/01/15,08/01/16,244
03/01/16,11/01/16,245
06/01/15,02/01/16,245
12/01/14,09/01/15,274
05/01/16,02/01/17,276
09/01/14,06/01/15,273
07/01/13,04/01/14,274
07/01/17,03/01/18,243
12/01/14,08/01/15,243
01/01/17,10/01/17,273
06/01/17,03/01/18,273
05/01/15,02/01/16,276
05/01/15,02/01/16,276
05/01/14,01/01/15,245
12/01/16,09/01/17,274
11/01/14,08/01/15,273
07/01/17,04/01/18,274
05/01/15,02/01/16,276
09/01/15,06/01/16,274
06/01/15,03/01/16,274
06/01/15,03/01/16,274
07/01/15,04/01/16,275
01/01/17,11/01/17,304
12/01/14,10/01/15,304
02/01/16,11/01/16,274
01/01/17,10/01/17,273
08/01/16,05/01/17,273
06/01/15,04/01/16,305
05/01/14,02/01/15,276
06/01/17,04/01/18,304
10/01/16,08/01/17,304
01/01/17,11/01/17,304
12/01/14,10/01/15,304
07/01/17,05/01/18,304
12/01/13,10/01/14,304
01/01/15,11/01/15,304
11/01/16,09/01/17,304
05/01/14,03/01/15,304
12/01/14,11/01/15,335
09/01/14,08/01/15,334
07/01/15,05/01/16,305
02/01/16,01/01/17,335
12/01/14,11/01/15,335
03/01/15,02/01/16,337
03/01/15,02/01/16,337
04/01/16,03/01/17,334
12/01/14,11/01/15,335
08/01/16,08/01/17,365
02/01/15,02/01/16,365
11/01/16,10/01/17,334
11/01/16,11/01/17,365
02/01/16,01/01/17,335
05/01/16,05/01/17,365
11/01/14,11/01/15,365
03/01/16,03/01/17,365
07/01/15,08/01/16,397
05/01/14,05/01/15,365
10/01/16,10/01/17,365
02/01/15,02/01/16,365
