slug,tag_name,start_date,attendance,host_name,country,latitude,longitude,url
2013-09-23-msu,SWC,2013-09-23,37,Michigan State University,US,42.724085,-84.476265,https://swcarpentry.github.io/2013-09-23-msu/
2013-09-24-acpfgA,SWC,2013-09-24,20,Australian Centre for Plant Functional Genomics,AU,-34.919159,138.60414,https://swcarpentry.github.io/2013-09-24-acpfgA/
2013-09-26-ubc,SWC,2013-09-26,24,University of British Columbia,CA,49.261111,-123.253056,https://swcarpentry.github.io/2013-09-26-ubc/
2013-09-27-ucl,SWC,2013-09-27,32,University College London,GB,51.524559,-0.13404,http://cannot.find.url/2013-09-27-ucl/
2013-09-30-ttt-online,"TTT,online",2013-09-30,57,Software Carpentry,W3,-48.876667,-123.393333,
2013-10-01-acpfgM,SWC,2013-10-01,27,Australian Centre for Plant Functional Genomics,AU,-37.9083,145.138,https://swcarpentry.github.io/2013-10-01-acpfgM/
2013-10-03-pasteur,SWC,2013-10-03,19,Pasteur Institute,FR,48.84042,2.31068,https://jdblischak.github.io/2013-10-03-pasteur/
2013-10-09-canberra,SWC,2013-10-09,35,Australian National University,AU,-35.2777,149.11853,https://swcarpentry.github.io/2013-10-09-canberra/
2013-10-17-uic,SWC,2013-10-17,40,University of Illinois at Chicago,US,41.870206,-87.666934,https://jdblischak.github.io/2013-10-17-uic/
2013-10-24-greenwich,SWC,2013-10-24,36,"Greenwich Digital Enterprise, London",GB,51.50066,0.00663,https://swcarpentry.github.io/2013-10-24-greenwich/
2013-10-25-columbia,SWC,2013-10-25,27,New York University,US,40.8080777,-73.9635678,https://justincely.github.io/2013-10-25-columbia/
2013-10-29-vertpaleo,SWC,2013-10-29,8,Society of Vertebrate Paleontology,US,34.052778,-118.255833,https://swcarpentry.github.io/2013-10-29-vertpaleo/
2013-11-14-exeter,SWC,2013-11-14,23,University of Exeter,GB,50.735788,-3.535033,https://chryswoods.github.io/2013-11-14-exeter/
2013-11-14-whoi,SWC,2013-11-14,35,Woods Hole Oceanographic Institute,US,41.526667,-70.663056,https://swcarpentry.github.io/2013-11-14-whoi/
2013-11-18-lbl,SWC,2013-11-18,32,Lawrence Berkeley National Laboratory,US,37.876889,-122.246693,http://cannot.find.url/2013-11-18-lbl/
2013-11-23-berkeley,SWC,2013-11-23,20,University of California Berkeley,US,37.876889,-122.246693,http://cannot.find.url/2013-11-23-berkeley/
