slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2017-07-26-Sheffield,DC,2017-07-26,20,University of Sheffield,GB,53.384498,-1.488683
2017-07-27-PNNL,SWC,2017-07-27,18,Pacific Northwest National Lab ,US,46.346272,-119.271655
2017-07-27-hobart,SWC,2017-07-27,45,Data Science Hobart,AU,-42.886048,147.335837
2017-07-27-mcmaster,SWC,2017-07-27,30,McMaster University,CA,43.259659,-79.917486
2017-07-27-okstate,DC,2017-07-27,21,Oklahoma State University,US,36.123021,-97.069724
2017-07-27-qcif,TTT,2017-07-27,23,Queensland Cyber Infrastructure Foundation,AU,-27.501484,153.014922
2017-07-31-noble-research,SWC,2017-07-31,26,Noble Research Institute,US,34.189403,-97.081259
2017-07-31-ttt-online,"TTT,online",2017-07-31,27,Software Carpentry,W3,-48.876667,-123.393333
2017-08-01-LBNL,DC,2017-08-01,8,Lawrence Berkeley National Laboratory,US,37.875928,-122.250027
2017-08-01-Potch,"DC,unresponsive",2017-08-01,13,North-West University,ZA,-26.687123,27.0920373
2017-08-01-resbazp,SWC,2017-02-08,37,University of Queensland,AU,-27.4994803,153.0131042
2017-08-01-resbazr,SWC,2017-02-08,38,University of Queensland,AU,-27.4994803,153.0131042
2017-08-01-southampton-dc,DC,2017-08-01,46,University of Southampton,GB,50.936484,-1.395341
2017-08-01-southampton-swc,SWC,2017-08-01,25,University of Southampton,GB,50.936484,-1.395341
2017-08-01-stony-brook,SWC,2017-08-01,26,Stony Brook University,US,40.911655,-73.120876
2017-08-02-canterbury,"SWC,unresponsive",2017-02-08,,University of Canterbury,NZ,-43.522207,172.568613
2017-08-02-chicago-frb,SWC,2017-08-02,23,Federal Reserve Bank of Chicago,US,41.878476,-87.633007
2017-08-03-creighton,SWC,2017-08-03,36,Creighton University,US,41.732284,-72.793404
2017-08-03-frb_washingtondc,SWC,2017-08-03,19,Federal Reserve Board,US,38.902504,-77.043087
2017-08-05-stanford,SWC,2017-08-05,16,Stanford University,US,37.431751,-122.176048
2017-08-07-LBNL,DC,2017-08-07,18,Lawrence Berkeley National Laboratory,US,37.87597,-122.250006
2017-08-07-jackson-ttt,"TTT,online",2017-08-07,34,Software Carpentry,W3,-48.876667,-123.393333
2017-08-07-notredame,SWC,2017-08-07,24,University of Notre Dame,US,41.702784,-86.231701
2017-08-08-stsci,SWC,2017-08-08,20,Space Telescope Science Institute,US,39.3355,-76.630324
2017-08-10-qbi,SWC,2017-08-10,9,University of Queensland,AU,-27.499542,153.011805
2017-08-14-Ethiopia,DC,2017-08-14,27,Ethiopian Research and Education Network,ET,9.040216,38.762582
2017-08-14-UCB-ttt,TTT,2017-08-14,11,Berkeley Institute for Data Science,US,37.872183,-122.259593
2017-08-14-UFII-DC,DC,2017-08-14,29,University of Florida,US,29.648152,-82.344105
2017-08-14-UFII-SwC,SWC,2017-08-14,22,University of Florida,US,29.648248,-82.344031
2017-08-14-delaware,SWC,2017-08-14,24,University of Delaware,US,39.665824,-75.751395
2017-08-14-winona,SWC,2017-08-14,19,Winona State University,US,44.048736,-91.642226
2017-08-16-pyconpl,DC,2017-08-16,1,PyCon,PL,51.805111,20.381442
2017-08-16-sheffield,SWC,2017-08-16,28,University of Sheffield,GB,53.3815906,-1.4817909
2017-08-16-ttt-online,"TTT,online",2017-08-16,21,Software Carpentry,W3,-48.876667,-123.393333
2017-08-16-wsu,SWC,2017-08-16,38,Washington State University,US,46.7298,-117.1817
2017-08-17-Yosemite,DC,2017-08-17,20,University of California Merced,US,37.5399159,-119.6577967
2017-08-17-oklahoma,SWC,2017-08-17,11,University of Oklahoma,US,35.183597,-97.440619
2017-08-17-umswc-hg,SWC,2017-08-17,19,University of Michigan,US,42.283604,-83.733796
2017-08-17-vumc,SWC,2017-08-17,40,Vanderbilt University,US,36.144115,-86.802322
2017-08-18-Windhoek,SWC,2017-08-18,15,University of Namibia,NA,-22.612169,17.058373
2017-08-21-GriffithUni-R,SWC,2017-08-21,22,Griffith University,AU,-27.552941,153.052425
2017-08-21-aarhus,SWC,2017-08-21,,Aarhus University,DK,56.17254,10.20617
2017-08-22-uwmadison-dc,DC,2017-08-22,,University of Wisconsin - Madison,US,43.0728339,-89.4103303
2017-08-24-losalamos,SWC,2017-08-24,20,Los Alamos National Laboratory,US,35.877,-106.325
2017-08-25-wvu,SWC,2017-08-25,32,West Virginia University,US,39.633257,-79.954529
2017-08-26-Tucson,SWC,2017-08-26,71,University of Arizona,US,32.231901,-110.9495
2017-08-28-nmsu,DC,2017-08-28,32,New Mexico State University,US,32.2787745,-106.7479059
2017-08-30-lbl-pyseclang,SWC,2017-08-30,22,Lawrence Berkeley National Laboratory,US,37.875894,-122.250659
2017-08-30-uwmadison-swc,SWC,2017-08-30,23,University of Wisconsin - Madison,US,43.0728339,-89.4103303
2017-08-31-MacquarieUniversity,SWC,2017-08-31,16,Macquarie University,AU,-33.774675,151.113344
2017-08-31-ncsa,SWC,2017-08-31,23,"National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign",US,40.110588,-88.20727
2017-08-31-uri,DC,2017-08-31,32,University of Rhode Island,US,41.489496,-71.527459
2017-09-04-ttt-manchester,TTT,2017-09-04,22,University of Manchester,GB,53.46738,-2.234087
2017-09-04-wuerzburg,SWC,2017-09-04,22,University of Wuerzburg,DE,49.80198,9.956515
2017-09-09-hlt-workshop,SWC,2017-09-09,16,University of Arizona,US,32.231885,-110.950109
2017-09-09-utah_swc,SWC,2017-09-09,,Utah State University,US,41.742151,-111.806982
2017-09-11-cambridge,DC,2017-09-11,38,University of Cambridge,GB,52.201951,0.122514
2017-09-12-isu,SWC,2017-09-12,12,Iowa State University,US,42.02636,-93.64311
2017-09-14-gent-cmet,SWC,2017-09-14,19,Univeristy of Ghent,BE,51.05372,3.708666
2017-09-14-osucgrb,SWC,2017-09-14,22,Oregon State University,US,44.566614,-123.281987
2017-09-18-SFU-python,SWC,2017-09-18,,Simon Fraser University,CA,49.279591,-122.918721
2017-09-18-TechUnivDenm,SWC,2017-09-18,,Technical University of Denmark,DK,55.788738,12.521887
2017-09-18-UniversityLimpopo,DC,2017-09-18,27,University of Limpopo,ZA,-23.888819,29.73855
2017-09-18-stanford,SWC,2017-09-18,40,Stanford University,US,37.427475,-122.169719
2017-09-19-LBNL,DC,2017-09-19,1,Lawrence Berkeley National Laboratory,US,42.350061,-71.062263
2017-09-20-NASADEVELOP-PY,SWC,2017-09-20,5,NASA (National Aeronautics and Space Administration),US,37.056614,-76.40446
2017-09-21-ttt-online,"TTT,online",2017-09-21,26,Software Carpentry,W3,-48.876667,-123.393333
2017-09-21-ucr,SWC,2017-09-21,12,"University of California, Riverside",US,33.972643,-117.327482
2017-09-21-uiuc,SWC,2017-09-21,25,University of Illinois,US,40.114821,-88.225001
2017-09-23-chicago,SWC,2017-09-23,26,University of Chicago,US,41.793216,-87.599737
2017-09-25-TTT-online,"TTT,online",2017-09-25,17,Software Carpentry,W3,-48.876667,-123.393333
2017-09-25-UCL_software_carpentry,SWC,2017-09-25,14,University College London,GB,51.52528389,-0.133528483
2017-09-25-usq,SWC,2017-09-25,,University of Southern Queensland,AU,-27.606578,151.935113
2017-09-26-Exeter,SWC,2017-09-26,32,University of Exeter,GB,50.736981,-3.53424
2017-09-26-MacquarieUniversity,SWC,2017-09-26,16,Macquarie University,AU,-33.774675,151.113344
2017-09-26-oxford,DC,2017-09-26,13,University of Oxford,GB,51.764476,-1.260328
2017-09-26-ubc,SWC,2017-09-26,9,University of British Columbia,CA,49.262465,-123.24509
2017-09-27-LBNL,DC,2017-09-27,4,Lawrence Berkeley National Laboratory,US,37.876793,-122.248899
2017-09-28-NIH-CMN,SWC,2017-09-28,20,National Institutes of Health,US,39.001593,-77.108295
2017-09-28-curtin,TTT,2017-09-28,16,Curtin University,AU,-31.9829258,115.8570908
2017-09-28-nsbe,DC,2017-09-28,16,National Society of Black Engineers,US,41.8891327,-87.6216582
2017-09-29-DC_USU,DC,2017-09-29,14,Utah State University,US,41.742246,-111.809627
2017-09-30-TDWG-Ottawa,DC,2017-09-30,18,University of Florida,CA,45.412766,-75.688662
