Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
librarian,US,"Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
librarian,US,Library and information science,Unknown,No Training,Primary instructor for a full course
support,NL,"Library and information science, Physics","helper, learner, contributor",No Training,Primary instructor for a full course
grad,CA,"Computer science/electrical engineering, Mathematics/statistics, Physics","helper, instructor, organizer",No Training,Primary instructor for a full course
research,NL,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
research,NL,"Computer science/electrical engineering, Education, High performance computing, Physics, Space sciences",helper,No Training,Primary instructor for a full course
librarian,NO,"Humanities, Library and information science","helper, learner",No Training,Primary instructor for a full course
faculty,CA,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","helper, host, learner, organizer, contributor",No Training,Primary instructor for a full course
support,NO,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Primary instructor for a full course
grad,NO,"Computer science/electrical engineering, Humanities, Psychology/neuroscience",learner,No Training,Primary instructor for a full course
postdoc,NO,Medicine,learner,No Training,Primary instructor for a full course
grad,NO,Mathematics/statistics,learner,No Training,Primary instructor for a full course
Unknown,NL,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
librarian,US,"Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
grad,NO,"Chemistry, Genetics, genomics, bioinformatics, Medicine, Psychology/neuroscience",learner,No Training,Primary instructor for a full course
support,NO,"Chemistry, Computer science/electrical engineering","helper, learner",No Training,Primary instructor for a full course
faculty,US,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, Library and information science, Medicine, Social sciences",Unknown,No Training,Primary instructor for a full course
grad,US,Humanities,Unknown,No Training,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
librarian,US,"Civil, mechanical, chemical, or nuclear engineering, Library and information science",helper,No Training,Primary instructor for a full course
postdoc,SD,"Civil, mechanical, chemical, or nuclear engineering, Education",instructor,No Training,Primary instructor for a full course
grad,GB,Physics,Unknown,No Training,Primary instructor for a full course
research,NO,"High performance computing, Physics, Space sciences",learner,No Training,Primary instructor for a full course
postdoc,GB,"Genetics, genomics, bioinformatics, Medicine",Unknown,No Training,Primary instructor for a full course
Unknown,GB,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
support,US,"Social sciences, Space sciences",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",Unknown,No Training,Primary instructor for a full course
Unknown,US,Library and information science,Unknown,No Training,Primary instructor for a full course
grad,US,Mathematics/statistics,helper,No Training,Primary instructor for a full course
grad,US,Social sciences,Unknown,No Training,Primary instructor for a full course
postdoc,AU,Chemistry,"helper, learner",No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
librarian,US,"Library and information science, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
librarian,US,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
librarian,US,"Computer science/electrical engineering, Library and information science",Unknown,No Training,Primary instructor for a full course
research,US,"Computer science/electrical engineering, High performance computing, Psychology/neuroscience",learner,No Training,Primary instructor for a full course
grad,US,Psychology/neuroscience,learner,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
faculty,ET,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
undisclosed,GB,Unknown,helper,No Training,Primary instructor for a full course
research,CA,"Organismal biology (ecology, botany, zoology, microbiology)",helper,No Training,Primary instructor for a full course
support,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
support,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",Unknown,No Training,Primary instructor for a full course
commerce,US,"Computer science/electrical engineering, Humanities",Unknown,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
librarian,washington dc,False,Unknown,No Training,Primary instructor for a full course
Unknown,DE,"Organismal biology (ecology, botany, zoology, microbiology)","learner, contributor",No Training,Primary instructor for a full course
support,GB,"Genetics, genomics, bioinformatics, High performance computing","helper, host, learner",No Training,Primary instructor for a full course
undisclosed,US,Mathematics/statistics,"helper, learner",No Training,Primary instructor for a full course
research,GB,Library and information science,learner,No Training,Primary instructor for a full course
Unknown,US,"Chemistry, Genetics, genomics, bioinformatics, Medicine",Unknown,No Training,Primary instructor for a full course
grad,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics",helper,No Training,Primary instructor for a full course
grad,MX,"Genetics, genomics, bioinformatics","learner, contributor",No Training,Primary instructor for a full course
grad,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,NO,"Mathematics/statistics, Physics",Unknown,No Training,Primary instructor for a full course
research,NO,"Computer science/electrical engineering, Education, Humanities",Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
support,NO,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
grad,CA,"Civil, mechanical, chemical, or nuclear engineering",learner,No Training,Primary instructor for a full course
commerce,IN,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
grad,GB,"Computer science/electrical engineering, Mathematics/statistics",learner,No Training,Primary instructor for a full course
undisclosed,CA,"Genetics, genomics, bioinformatics, Medicine, Organismal biology (ecology, botany, zoology, microbiology)",instructor,No Training,Primary instructor for a full course
undergrad,BW,"Computer science/electrical engineering, High performance computing",helper,No Training,Primary instructor for a full course
Unknown,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
support,ZA,"Computer science/electrical engineering, Education",learner,No Training,Primary instructor for a full course
grad,CA,"Civil, mechanical, chemical, or nuclear engineering","helper, instructor, learner",No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Medicine",learner,No Training,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering",Unknown,No Training,Primary instructor for a full course
librarian,US,"Library and information science, Physics, Space sciences",Unknown,No Training,Primary instructor for a full course
grad,US,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",No Training,Primary instructor for a full course
support,US,"Education, Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
Unknown,GB,"Computer science/electrical engineering, Education, Humanities, Library and information science, Psychology/neuroscience, Social sciences","helper, learner, organizer",No Training,Primary instructor for a full course
grad,CA,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
commerce,IT,Computer science/electrical engineering,"helper, instructor, contributor",No Training,Primary instructor for a full course
faculty,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
research,NL,"Computer science/electrical engineering, Medicine",learner,No Training,Primary instructor for a full course
grad,US,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
librarian,US,"Humanities, Library and information science, Social sciences",learner,No Training,Primary instructor for a full course
faculty,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
commerce,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
grad,US,"Civil, mechanical, chemical, or nuclear engineering",Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Genetics, genomics, bioinformatics",helper,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Psychology/neuroscience",learner,No Training,Primary instructor for a full course
grad,US,"Economics/business, Social sciences",Unknown,No Training,Primary instructor for a full course
librarian,US,Library and information science,Unknown,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Computer science/electrical engineering, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
research,NZ,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Primary instructor for a full course
postdoc,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)","instructor, learner",No Training,Primary instructor for a full course
grad,AU,Computer science/electrical engineering,learner,No Training,Primary instructor for a full course
Unknown,US,"Economics/business, Mathematics/statistics, Social sciences",Unknown,No Training,Primary instructor for a full course
Unknown,US,Computer science/electrical engineering,"helper, instructor",No Training,Primary instructor for a full course
research,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",Unknown,No Training,Primary instructor for a full course
commerce,US,Unknown,"helper, learner",No Training,Primary instructor for a full course
support,US,Unknown,Unknown,No Training,Primary instructor for a full course
grad,US,"Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
support,US,Library and information science,Unknown,No Training,Primary instructor for a full course
support,US,"Computer science/electrical engineering, Education, Library and information science",learner,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
undergrad,US,Physics,Unknown,No Training,Primary instructor for a full course
support,US,"Computer science/electrical engineering, Economics/business, Mathematics/statistics",learner,No Training,Primary instructor for a full course
support,US,Unknown,learner,No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics, High performance computing","helper, instructor, learner",No Training,Primary instructor for a full course
grad,GB,"Chemistry, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",helper,No Training,Primary instructor for a full course
faculty,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
grad,AU,"Education, Humanities, Social sciences",learner,No Training,Primary instructor for a full course
grad,AU,"Education, Humanities, Social sciences",learner,No Training,Primary instructor for a full course
grad,AU,"Education, Humanities, Social sciences",learner,No Training,Primary instructor for a full course
librarian,US,"Humanities, Library and information science, Social sciences",learner,No Training,Primary instructor for a full course
postdoc,US,"Chemistry, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,GB,Physics,helper,No Training,Primary instructor for a full course
research,GB,"Computer science/electrical engineering, Economics/business, Education, Genetics, genomics, bioinformatics, High performance computing, Library and information science, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences","helper, instructor, learner",No Training,Primary instructor for a full course
support,GB,"High performance computing, Physics",Unknown,No Training,Primary instructor for a full course
grad,US,"Medicine, Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",learner,No Training,Primary instructor for a full course
librarian,US,"Library and information science, Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Primary instructor for a full course
support,US,"Humanities, Library and information science, Social sciences",learner,No Training,Primary instructor for a full course
librarian,US,"Education, Library and information science, Medicine, Organismal biology (ecology, botany, zoology, microbiology), Social sciences","learner, organizer",No Training,Primary instructor for a full course
undisclosed,GB,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Genetics, genomics, bioinformatics",helper,No Training,Primary instructor for a full course
librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",learner,No Training,Primary instructor for a full course
librarian,US,"Economics/business, Library and information science, Mathematics/statistics, Social sciences",learner,No Training,Primary instructor for a full course
librarian,US,Library and information science,"helper, learner",No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics",helper,No Training,Primary instructor for a full course
librarian,US,Unknown,"host, learner",No Training,Primary instructor for a full course
grad,GB,"Physics, Space sciences",learner,No Training,Primary instructor for a full course
librarian,US,Library and information science,learner,No Training,Primary instructor for a full course
research,DE,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
research,GB,"Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, organizer",No Training,Primary instructor for a full course
grad,DE,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
support,US,Mathematics/statistics,"host, learner",No Training,Primary instructor for a full course
faculty,US,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
Unknown,US,"Civil, mechanical, chemical, or nuclear engineering, Physics",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
undisclosed,GB,Mathematics/statistics,"helper, instructor",No Training,Primary instructor for a full course
undisclosed,GB,Mathematics/statistics,"helper, instructor",No Training,Primary instructor for a full course
grad,DE,Physics,"helper, instructor",No Training,Primary instructor for a full course
research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
research,US,"High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Primary instructor for a full course
grad,US,Physics,Unknown,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
research,DE,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering","helper, instructor, organizer",No Training,Primary instructor for a full course
research,DE,"Computer science/electrical engineering, High performance computing, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
faculty,DE,Physics,Unknown,No Training,Primary instructor for a full course
postdoc,DE,"Economics/business, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences", adaptation,No Training,Primary instructor for a full course
librarian,US,"Computer science/electrical engineering, Library and information science, Social sciences",learner,No Training,Primary instructor for a full course
research,GB,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
support,US,Humanities,learner,No Training,Primary instructor for a full course
grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,No Training,Primary instructor for a full course
postdoc,US,"Chemistry, High performance computing, Mathematics/statistics, Physics",helper,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
grad,CA,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
research,GB,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
support,GB,"Civil, mechanical, chemical, or nuclear engineering, Physics",learner,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
librarian,US,"Computer science/electrical engineering, Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
research,"Los Angeles, CA",False,Unknown,No Training,Primary instructor for a full course
grad,GB,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
support,US,"Genetics, genomics, bioinformatics","helper, organizer",No Training,Primary instructor for a full course
Unknown,GB,"Computer science/electrical engineering, High performance computing, Mathematics/statistics","helper, host, organizer",No Training,Primary instructor for a full course
grad,US,"Computer science/electrical engineering, High performance computing, Physics, Space sciences",Unknown,No Training,Primary instructor for a full course
librarian,US,"Economics/business, Library and information science, Psychology/neuroscience, Social sciences",Unknown,No Training,Primary instructor for a full course
grad,US,"High performance computing, Physics, Space sciences",Unknown,No Training,Primary instructor for a full course
librarian,US,Library and information science,learner,No Training,Primary instructor for a full course
support,GB,Physics,helper,No Training,Primary instructor for a full course
undisclosed,ZA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
postdoc,ZA,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Library and information science, Social sciences",learner,No Training,Primary instructor for a full course
postdoc,GB,"Chemistry, High performance computing, Physics",helper,No Training,Primary instructor for a full course
research,DE,"Computer science/electrical engineering, Education, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Economics/business, Social sciences",helper,No Training,Primary instructor for a full course
commerce,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
grad,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics",learner,No Training,Primary instructor for a full course
faculty,ZA,Unknown,Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
support,ZA,"Chemistry, Computer science/electrical engineering, Economics/business, Education, High performance computing, Mathematics/statistics, Physics",organizer,No Training,Primary instructor for a full course
Unknown,ZA,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, learner, organizer",No Training,Primary instructor for a full course
postdoc,ZA,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
postdoc,ZW,"Computer science/electrical engineering, High performance computing",Unknown,No Training,Primary instructor for a full course
librarian,US,Library and information science,"helper, host, organizer",No Training,Primary instructor for a full course
faculty,ZA,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
grad,CA,"Civil, mechanical, chemical, or nuclear engineering, Genetics, genomics, bioinformatics",helper,No Training,Primary instructor for a full course
grad,EC,"Computer science/electrical engineering, Library and information science, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
faculty,US,Library and information science,Unknown,No Training,Primary instructor for a full course
support,ZA,"Chemistry, Computer science/electrical engineering, High performance computing",Unknown,No Training,Primary instructor for a full course
grad,GB,"Computer science/electrical engineering, High performance computing",Unknown,No Training,Primary instructor for a full course
research,ZA,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",learner,No Training,Primary instructor for a full course
faculty,DE,"Humanities, Social sciences",Unknown,No Training,Primary instructor for a full course
faculty,US,"Education, Social sciences",Unknown,No Training,Primary instructor for a full course
grad,US,"Computer science/electrical engineering, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
postdoc,BW,Computer science/electrical engineering,"helper, learner",No Training,Primary instructor for a full course
postdoc,US,"High performance computing, Psychology/neuroscience, Social sciences",Unknown,No Training,Primary instructor for a full course
Unknown,NO,"Computer science/electrical engineering, Humanities",learner,No Training,Primary instructor for a full course
grad,ZA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
support,US,"Economics/business, Education, Humanities",host,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
research,AU,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
research,GB,"Chemistry, Genetics, genomics, bioinformatics, High performance computing","helper, instructor, organizer",No Training,Primary instructor for a full course
postdoc,GB,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
grad,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
postdoc,GB,"Chemistry, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Primary instructor for a full course
research,NZ,"Chemistry, High performance computing, Mathematics/statistics, Physics",helper,No Training,Primary instructor for a full course
faculty,NZ,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
grad,ZA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",Unknown,No Training,Primary instructor for a full course
faculty,US,Library and information science,learner,No Training,Primary instructor for a full course
librarian,US,"Humanities, Library and information science",learner,No Training,Primary instructor for a full course
research,US,Unknown,helper,No Training,Primary instructor for a full course
Unknown,US,"Computer science/electrical engineering, Mathematics/statistics","helper, instructor",No Training,Primary instructor for a full course
postdoc,US,"Chemistry, High performance computing, Mathematics/statistics, Physics, Space sciences",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
Unknown,NZ,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Primary instructor for a full course
librarian,US,Library and information science,Unknown,No Training,Primary instructor for a full course
research,US,"High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
grad,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Primary instructor for a full course
grad,ZA,Economics/business,learner,No Training,Primary instructor for a full course
librarian,US,"Library and information science, Social sciences",Unknown,No Training,Primary instructor for a full course
librarian,US,Library and information science,Unknown,No Training,Primary instructor for a full course
research,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Psychology/neuroscience",learner,No Training,Primary instructor for a full course
support,NZ,"Education, Mathematics/statistics","helper, host, organizer",No Training,Primary instructor for a full course
research,ZA,Computer science/electrical engineering,helper,No Training,Primary instructor for a full course
support,US,"Chemistry, Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
undisclosed,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Physics","instructor, host, organizer",No Training,Primary instructor for a full course
commerce,US,"Computer science/electrical engineering, Humanities, Library and information science",Unknown,No Training,Primary instructor for a full course
grad,US,Unknown,learner,No Training,Primary instructor for a full course
postdoc,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Primary instructor for a full course
librarian,US,"Planetary sciences (geology, climatology, oceanography, etc.)","host, learner, organizer",No Training,Primary instructor for a full course
grad,US,"Economics/business, Mathematics/statistics, Social sciences",Unknown,No Training,Primary instructor for a full course
faculty,US,Mathematics/statistics,Unknown,No Training,Primary instructor for a full course
grad,US,Mathematics/statistics,learner,No Training,Primary instructor for a full course
support,DE,"Genetics, genomics, bioinformatics","helper, instructor, host, organizer, contributor",No Training,Primary instructor for a full course
support,ZA,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
research,GB,"High performance computing, Mathematics/statistics, Physics","helper, learner",No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, High performance computing",Unknown,No Training,Primary instructor for a full course
grad,US,"Humanities, Psychology/neuroscience, Social sciences",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,MX,Mathematics/statistics,learner,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics",learner,No Training,Primary instructor for a full course
research,US,"Computer science/electrical engineering, Economics/business, High performance computing, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
support,NZ,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","helper, learner",No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
support,US,Library and information science,Unknown,No Training,Primary instructor for a full course
grad,ZA,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
support,ZA,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Primary instructor for a full course
grad,ZA,"Chemistry, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
postdoc,ZA,"Genetics, genomics, bioinformatics",learner,No Training,Primary instructor for a full course
faculty,ZA,"Humanities, Social sciences",learner,No Training,Primary instructor for a full course
faculty,US,"Physics, Space sciences",learner,No Training,Primary instructor for a full course
Unknown,US,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
Unknown,NZ,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
research,GB,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Physics",helper,No Training,Primary instructor for a full course
research,GB,"High performance computing, Mathematics/statistics, Physics",helper,No Training,Primary instructor for a full course
research,GB,"High performance computing, Physics","helper, organizer",No Training,Primary instructor for a full course
research,GB,"Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Primary instructor for a full course
research,GB,"High performance computing, Physics",Unknown,No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Primary instructor for a full course
grad,US,"High performance computing, Mathematics/statistics, Physics",learner,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,No Training,Primary instructor for a full course
postdoc,UM,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
undisclosed,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Primary instructor for a full course
grad,US,Unknown,Unknown,No Training,Primary instructor for a full course
faculty,US,"High performance computing, Mathematics/statistics, Physics",Unknown,No Training,Primary instructor for a full course
grad,US,Economics/business,learner,No Training,Primary instructor for a full course
faculty,US,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
grad,US,Computer science/electrical engineering,Unknown,No Training,Primary instructor for a full course
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Primary instructor for a full course
