first_survey_take,workshop_attended_amount,workshop_attended_age,workshop_attended_type,workshop_attended_location,workshop_attended_content,behavior_adopted,frequency_usage_before,frequency_usage_after,change_confidence,how_tools_help,workshop_contributed_academics,workshop_contributed_academics_open,topics_another_workshop_open,impact_career_advancement,impact_motivation_learning,impact_increase_reproducibility,impact_professional_recognition,impact_improve_coding_practice,impact_research_productivity,impact_increase_confidence,impact_open,workshop_country,community_involvement,other_activities,has_recommended,recommendation_score,outcomes_open,dont_use_skills_open,additional_comments_open
Yes,2,6 months - 1 year ago,Data Carpentry,NA,Python,"Using programming languages like R or Python, or the command line to automate repetitive tasks",I had not been using tools like these,Weekly,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data,No,NA,More python at an intermediate level,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Gaining confidence from seeing other people at a begginer level,Norway,NA,NA,Yes,10,NA,NA,It needs to be enforced that people who have not installed the software prior to the workshop should not be allowed to take part. I think in our day workshop we spent the first 2 hours getting everyone up to speed :):)
I don't know,2,6 months - 1 year ago,Data Carpentry,University of Arizona,Git;R;Unix Shell,"Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code",Several times per year,Monthly,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data,No,NA,Data management,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,The workshop has helped me to use cloud computing (Cyverse) for analysis of large datasets,United States,NA,NA,Yes,10,NA,NA,NA
Yes,1,6 months - 1 year ago,Data Carpentry,University of Arizona,Git;Python;R;Unix Shell,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets;Transforming step-by-step workflows into scripts or functions;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories)",Weekly,Daily,I'm equally confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data,Yes,Reproducibility/Credibility of my work,NA,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,The networking that took place between other participants and the instructors,United States,Attended at least one community call;Became a workshop helper;Became a Carpentry instructor;Contributed to a Carpentry lesson,Participated in a Meetup;Used non-Carpentry self-guided material,Yes,10,NA,NA,NA
Yes,1,0-6 months ago,Library Carpentry,Codata Summer school Trieste,Git;R,NA,I had not been using tools like these,Several times per year,I'm more confident now,I am not using the tools I learned,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,3+,6 months - 1 year ago,Data Carpentry,NA,Python;R;Unix Shell,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets;Transforming step-by-step workflows into scripts or functions;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Daily,Daily,I'm equally confident now,They are improving my overall efficiency;They are improving my ability to manage data,No,NA,NA,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,"It helped me to collaborate, and talk to other programmers at different levels, gauge my knowledge and skills at programming. Solidify some good practices, and identify bad ones",United States,Attended at least one community call;Became a workshop helper;Contributed to a Carpentry lesson,Participated in an in-person short course;Participated in a Meetup;Used self-guided Carpentry lesson material;Used non-Carpentry self-guided material,Yes,10,1. Code repeatability and commented  2. Git control,NA,NA
Yes,1,More than 1 year ago,Data Carpentry,"Morgantown, WV, USA",Git;R,My job role has changed. I no longer analyze data at all,Weekly,I have not been using tools like these,I'm equally confident now,I am not using the tools I learned,No,NA,I would still be interested in taking any Carpentry workshops since they will make me more marketable for future job roles,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,"It exposed me to programs and data resources that I was previously unfamiliar with. This makes me feel more confident that I could more easily relearn these tools, if a future project/job requires it",United States,NA,Used self-guided Carpentry lesson material,Yes,8,NA,I changed jobs and I do not need these skills in my current role,NA
I don't know,2,More than 1 year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,1,0-6 months ago,Software Carpentry,UCL Physics,Git;Unix Shell;Python,"Improving data management and project organization;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Daily,Daily,I'm more confident now,They are improving my overall efficiency;They are improving my ability to manage data;The tools I learned have not helped me with my work,Not sure,NA,"Advanced Python. A Network course, covering TCP/IP, routers, switches, subsets etc",Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,"Code management. Git, GitHub etc",United Kingdom,"I haven't get, but will volunteer to help",NA,I don't remember,10,I now manage my code.  I'm more confident in experimenting without breaking my code,NA,NA
Yes,2,6 months - 1 year ago,Data Carpentry,NA,OpenRefine;R;Unix Shell,Improving data management and project organization;Using version control to manage code,Several times per year,Several times per year,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data,Not sure,NA,NA,Strongly agree,Agree,Strongly agree,NA,Strongly agree,Agree,Strongly agree,NA,United States,Subscribed to the newsletter;Attended at least one community call;Became a workshop helper,Participated in an in-person short course;Participated in an online short course;Used self-guided Carpentry lesson material;Used non-Carpentry self-guided material,Yes,10,NA,NA,NA
Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
